year,minister,ngram,count,score
2024,Alberto Pérez Dayán,entre 2019,4,0.0024417657401845662
2025,Alberto Pérez Dayán,junta conciliacion,16,0.01716745642493231
2025,Alberto Pérez Dayán,berenice perez,14,0.01502152437181577
2025,Alberto Pérez Dayán,perez escobar,14,0.01502152437181577
2025,Alberto Pérez Dayán,erendira berenice,12,0.012875592318699232
2025,Alberto Pérez Dayán,conciliacion arbitraje,16,0.011999537091773347
2025,Alberto Pérez Dayán,secretaria auxiliar,10,0.010729660265582691
2025,Alberto Pérez Dayán,parentesco entre,6,0.006437796159349616
2025,Alberto Pérez Dayán,violeta vargas,6,0.006437796159349616
2025,Alberto Pérez Dayán,vargas garcia,6,0.006437796159349616
2025,Alberto Pérez Dayán,perez gomez,8,0.0059997685458866735
2026,Alberto Pérez Dayán,unanimidad amado,3,0.03273817667764046
2026,Alberto Pérez Dayán,amado guerrero,3,0.03273817667764046
2026,Alberto Pérez Dayán,guerrero alvarado,3,0.03273817667764046
2026,Alberto Pérez Dayán,nombramientos circulares,2,0.021825451118426976
2026,Alberto Pérez Dayán,primero dos,2,0.021825451118426976
2026,Alberto Pérez Dayán,alvarado rafael,2,0.021825451118426976
2026,Alberto Pérez Dayán,1991 unanimidad,3,0.017118096743970655
2026,Alberto Pérez Dayán,rafael remes,2,0.015255335662882468
2026,Alberto Pérez Dayán,remes ojeda,2,0.015255335662882468
2026,Alberto Pérez Dayán,carlos miguel,1,0.010912725559213488
2017,Alfredo Gutiérrez Ortiz Mena,sociedad autoconsumo,6,0.005683056584929772
2017,Alfredo Gutiérrez Ortiz Mena,autoconsumo responsable,6,0.005683056584929772
2017,Alfredo Gutiérrez Ortiz Mena,responsable tolerante,6,0.005683056584929772
2017,Alfredo Gutiérrez Ortiz Mena,superior ciudad,6,0.005683056584929772
2017,Alfredo Gutiérrez Ortiz Mena,bandala armando,5,0.0047358804874414765
2017,Alfredo Gutiérrez Ortiz Mena,armando santacruz,5,0.0047358804874414765
2017,Alfredo Gutiérrez Ortiz Mena,gonzalez jose,5,0.0047358804874414765
2017,Alfredo Gutiérrez Ortiz Mena,pablo girault,5,0.0047358804874414765
2017,Alfredo Gutiérrez Ortiz Mena,girault ruiz,5,0.0047358804874414765
2017,Alfredo Gutiérrez Ortiz Mena,ruiz juan,5,0.0047358804874414765
2018,Alfredo Gutiérrez Ortiz Mena,2010 unanimidad,9,0.0032653158728374442
2018,Alfredo Gutiérrez Ortiz Mena,penal primer,8,0.002902502998077728
2018,Alfredo Gutiérrez Ortiz Mena,unanimidad alfredo,5,0.002595339374429718
2018,Alfredo Gutiérrez Ortiz Mena,carlos rio,5,0.002595339374429718
2018,Alfredo Gutiérrez Ortiz Mena,2011 once,5,0.002595339374429718
2018,Alfredo Gutiérrez Ortiz Mena,1991 unanimidad,5,0.002595339374429718
2018,Alfredo Gutiérrez Ortiz Mena,2017 unanimidad,7,0.0025396901233180123
2018,Alfredo Gutiérrez Ortiz Mena,rio rodriguez,7,0.0025396901233180123
2018,Alfredo Gutiérrez Ortiz Mena,segundo penal,7,0.0025396901233180123
2018,Alfredo Gutiérrez Ortiz Mena,1980 cinco,7,0.0025396901233180123
2019,Alfredo Gutiérrez Ortiz Mena,via ejecutiva,12,0.004905205239823992
2019,Alfredo Gutiérrez Ortiz Mena,ejecutiva mercantil,12,0.004905205239823992
2019,Alfredo Gutiérrez Ortiz Mena,eruviel avila,10,0.004087671033186661
2019,Alfredo Gutiérrez Ortiz Mena,avila villegas,10,0.004087671033186661
2019,Alfredo Gutiérrez Ortiz Mena,cisen actividades,9,0.0036789039298679945
2019,Alfredo Gutiérrez Ortiz Mena,actividades eruviel,9,0.0036789039298679945
2019,Alfredo Gutiérrez Ortiz Mena,titulos operaciones,9,0.0036789039298679945
2019,Alfredo Gutiérrez Ortiz Mena,operaciones credito,9,0.0036789039298679945
2019,Alfredo Gutiérrez Ortiz Mena,haro ramos,8,0.0032701368265493284
2019,Alfredo Gutiérrez Ortiz Mena,obre archivos,8,0.0032701368265493284
2020,Alfredo Gutiérrez Ortiz Mena,cualquier concepto,14,0.005778951211612569
2020,Alfredo Gutiérrez Ortiz Mena,egresos federacion,9,0.005315020732738244
2020,Alfredo Gutiérrez Ortiz Mena,federacion correspondiente,9,0.005315020732738244
2020,Alfredo Gutiérrez Ortiz Mena,rivera ruiz,8,0.004724462873545106
2020,Alfredo Gutiérrez Ortiz Mena,certificaciones medicas,8,0.004724462873545106
2020,Alfredo Gutiérrez Ortiz Mena,pagos entendiendo,7,0.004133905014351968
2020,Alfredo Gutiérrez Ortiz Mena,entendiendo concepto,7,0.004133905014351968
2020,Alfredo Gutiérrez Ortiz Mena,concepto representen,7,0.004133905014351968
2020,Alfredo Gutiérrez Ortiz Mena,representen ingresos,7,0.004133905014351968
2020,Alfredo Gutiérrez Ortiz Mena,ingresos cualquier,7,0.004133905014351968
2021,Alfredo Gutiérrez Ortiz Mena,zavala rangel,46,0.011815216082344177
2021,Alfredo Gutiérrez Ortiz Mena,manuel horacio,35,0.008989838323522743
2021,Alfredo Gutiérrez Ortiz Mena,horacio zavala,30,0.007705575705876638
2021,Alfredo Gutiérrez Ortiz Mena,estado guanajuato,40,0.00768575042659391
2021,Alfredo Gutiérrez Ortiz Mena,romita guanajuato,24,0.004611450255956346
2021,Alfredo Gutiérrez Ortiz Mena,instituto estado,14,0.003595935329409097
2021,Alfredo Gutiérrez Ortiz Mena,grupos facticos,14,0.0026900126493078686
2021,Alfredo Gutiérrez Ortiz Mena,1996 unanimidad,10,0.0025685252352922123
2021,Alfredo Gutiérrez Ortiz Mena,comisionado instituto,10,0.0025685252352922123
2021,Alfredo Gutiérrez Ortiz Mena,mendez procurador,10,0.0025685252352922123
2022,Alfredo Gutiérrez Ortiz Mena,bebidas alimentos,11,0.004285691374439003
2022,Alfredo Gutiérrez Ortiz Mena,alimentos proporcionados,11,0.004285691374439003
2022,Alfredo Gutiérrez Ortiz Mena,acuse sello,11,0.004285691374439003
2022,Alfredo Gutiérrez Ortiz Mena,sello recepcion,11,0.004285691374439003
2022,Alfredo Gutiérrez Ortiz Mena,recepcion conste,11,0.004285691374439003
2022,Alfredo Gutiérrez Ortiz Mena,entrego secretaria,11,0.004285691374439003
2022,Alfredo Gutiérrez Ortiz Mena,loretta ortiz,21,0.0032558553924462363
2022,Alfredo Gutiérrez Ortiz Mena,ortiz ahlf,21,0.0032558553924462363
2022,Alfredo Gutiérrez Ortiz Mena,acuerdos proyecto,8,0.003116866454137456
2022,Alfredo Gutiérrez Ortiz Mena,secretaria acuerdos,14,0.002852050636305094
2023,Alfredo Gutiérrez Ortiz Mena,asesores auxiliares,22,0.007763505294386055
2023,Alfredo Gutiérrez Ortiz Mena,auxiliares cargo,22,0.007763505294386055
2023,Alfredo Gutiérrez Ortiz Mena,historial navegador,16,0.0056461856686444035
2023,Alfredo Gutiérrez Ortiz Mena,navegador internet,16,0.0056461856686444035
2023,Alfredo Gutiérrez Ortiz Mena,internet equipo,16,0.0056461856686444035
2023,Alfredo Gutiérrez Ortiz Mena,equipo computo,16,0.0056461856686444035
2023,Alfredo Gutiérrez Ortiz Mena,computo designo,16,0.0056461856686444035
2023,Alfredo Gutiérrez Ortiz Mena,designo servidor,16,0.0056461856686444035
2023,Alfredo Gutiérrez Ortiz Mena,realizar actividades,16,0.0056461856686444035
2023,Alfredo Gutiérrez Ortiz Mena,actividades laborales,16,0.0056461856686444035
2024,Alfredo Gutiérrez Ortiz Mena,jimena viveros,20,0.007813318944669311
2024,Alfredo Gutiérrez Ortiz Mena,viveros alvarez,20,0.007813318944669311
2024,Alfredo Gutiérrez Ortiz Mena,segunda encontraba,16,0.006250655155735449
2024,Alfredo Gutiérrez Ortiz Mena,encontraba bajo,16,0.006250655155735449
2024,Alfredo Gutiérrez Ortiz Mena,bajo anastasio,16,0.006250655155735449
2024,Alfredo Gutiérrez Ortiz Mena,anastasio gonzalez,16,0.006250655155735449
2024,Alfredo Gutiérrez Ortiz Mena,loretta ortiz,39,0.006063002806768247
2024,Alfredo Gutiérrez Ortiz Mena,ortiz ahlf,36,0.005596617975478382
2024,Alfredo Gutiérrez Ortiz Mena,indice segunda,16,0.004369020461307364
2024,Alfredo Gutiérrez Ortiz Mena,inconstitucionalidad 130/2022,8,0.0031253275778677244
2025,Alfredo Gutiérrez Ortiz Mena,hugo aguilar,19,0.009374408441522963
2025,Alfredo Gutiérrez Ortiz Mena,aguilar ortiz,19,0.009374408441522963
2025,Alfredo Gutiérrez Ortiz Mena,gasto ejercido,12,0.008470576675637201
2025,Alfredo Gutiérrez Ortiz Mena,presidente hugo,11,0.00542728909772382
2025,Alfredo Gutiérrez Ortiz Mena,gasto derivado,6,0.004235288337818601
2025,Alfredo Gutiérrez Ortiz Mena,medica tradicional,6,0.004235288337818601
2025,Alfredo Gutiérrez Ortiz Mena,tradicional pueblo,6,0.004235288337818601
2025,Alfredo Gutiérrez Ortiz Mena,lopez santa,6,0.004235288337818601
2025,Alfredo Gutiérrez Ortiz Mena,santa ana,6,0.004235288337818601
2025,Alfredo Gutiérrez Ortiz Mena,siguiente trabajadora,5,0.0035294069481821675
2026,Alfredo Gutiérrez Ortiz Mena,riesgo trabajo,5,0.021808101794500004
2026,Alfredo Gutiérrez Ortiz Mena,mochis sinaloa,3,0.013084861076700004
2026,Alfredo Gutiérrez Ortiz Mena,discapacidad permanente,2,0.012480136005387783
2026,Alfredo Gutiérrez Ortiz Mena,construccion vivienda,2,0.012480136005387783
2026,Alfredo Gutiérrez Ortiz Mena,ojo izquierdo,2,0.012480136005387783
2026,Alfredo Gutiérrez Ortiz Mena,izquierdo evisceracion,2,0.012480136005387783
2026,Alfredo Gutiérrez Ortiz Mena,**** ****,2,0.012480136005387783
2026,Alfredo Gutiérrez Ortiz Mena,sinaloa mexico,2,0.012480136005387783
2026,Alfredo Gutiérrez Ortiz Mena,condicion economico,2,0.012480136005387783
2026,Alfredo Gutiérrez Ortiz Mena,reclamo prestaciones,2,0.012480136005387783
2017,Arturo Zaldívar Lelo de Larrea,sociedad autoconsumo,6,0.00843437763001482
2017,Arturo Zaldívar Lelo de Larrea,autoconsumo responsable,6,0.00843437763001482
2017,Arturo Zaldívar Lelo de Larrea,responsable tolerante,6,0.00843437763001482
2017,Arturo Zaldívar Lelo de Larrea,auto instructor,6,0.00843437763001482
2017,Arturo Zaldívar Lelo de Larrea,instructor aperturo,6,0.00843437763001482
2017,Arturo Zaldívar Lelo de Larrea,aperturo incidente,6,0.00843437763001482
2017,Arturo Zaldívar Lelo de Larrea,suspension controversia,6,0.00843437763001482
2017,Arturo Zaldívar Lelo de Larrea,bandala armando,5,0.00702864802501235
2017,Arturo Zaldívar Lelo de Larrea,armando santacruz,5,0.00702864802501235
2017,Arturo Zaldívar Lelo de Larrea,gonzalez jose,5,0.00702864802501235
2018,Arturo Zaldívar Lelo de Larrea,mauro arturo,18,0.010030622379935341
2018,Arturo Zaldívar Lelo de Larrea,arturo rivera,18,0.010030622379935341
