year,ngram,score,count
2025,hugo aguilar,0.0006995099667890307,26
2025,presupuesto 2025,0.0006928425080472213,18
2025,presidente dependencia,0.0006543512576001535,17
2025,2025 recibira,0.0006543512576001535,17
2025,recibira dependencia,0.0006543512576001535,17
2025,2024 2025,0.000583661445402988,29
2025,mexico 2025,0.0005773687567060178,15
2025,organo administracion,0.0005649888193296017,21
2025,batres guadarrama,0.0005649888193296017,21
2025,2023 2024,0.0005434089319269199,27
2025,hasta 2025,0.0005388775062589499,14
2025,berenice perez,0.0005388775062589499,14
2025,perez escobar,0.0005388775062589499,14
2026,federacion xlv,0.0015111304958123353,8
2026,organo administracion,0.0014523229726640774,11
2026,571 vehiculos,0.0013222391838357934,7
2026,defensoria municipio,0.0011333478718592515,6
2026,municipio mazatlan,0.0011333478718592515,6
2026,relator salomon,0.0009876725220065105,10
2026,ayuda constitucional,0.0009444565598827096,5
2026,ojo izquierdo,0.0009444565598827096,5
2026,izquierdo evisceracion,0.0009444565598827096,5
2026,trimestre 2025,0.0009444565598827096,5
2026,pagar ptu,0.0009444565598827096,5
2026,1935 unanimidad,0.000909791213204194,16
2026,salomon gonzalez,0.0009020089239122119,12
2026,gonzalez blanco,0.0009020089239122119,12
2026,cuarta quinta,0.0007901380176052083,8
