year,Folio,FechaSolicitud,Dependencia,Estatus,MedioEntrada,TipoSolicitud,DescripcionSolicitud,OtrosDatos,ArchivosAdjuntos,MedioEntrega,FechaLimite,Respuesta,TextoRespuesta,FechaRespuesta,FechaSolicitudTermino,Pais,Estado,Municipio,CodigoPostal,Sector,Prorroga,Prevencion,Disponibilidad,TipoDerechoARCOP,Queja,FechaSolicitud_iso,FechaLimite_iso,FechaRespuesta_iso,FechaSolicitudTermino_iso,Prorroga_bin,Prevencion_bin,Disponibilidad_bin,Queja_bin
2018,0330000001018,20/12/2017,SUPREMA CORTE DE JUSTICIA DE LA NACIÓN (SCJN),Terminada,Electrónica,Información pública,"Solicito una copia facsimilar de todas y cada una de las constancias del expediente de la Contradicción de tesis 39/2016, entre las sustentadas por los Tribunales Colegiados Primero, Segundo y Octavo, todos en Materia Administrativa del Primer Circuito, el Octavo Tribunal Colegiado de Circuito del Centro Auxiliar de la Primera Región, con residencia en Naucalpan de Juárez, Estado de México y el Primer Tribunal Colegiado de Circuito del Centro Auxiliar de la Segunda Región, con residencia en San Andrés Cholula, Puebla, resuelta el 12 de diciembre de 2016. Mayoría de diez votos de diversos Magistrados.","Décima Época. Registro: 2013795. Instancia: Plenos de Circuito. Jurisprudencia. Gaceta del Semanario Judicial de la Federación. Libro 40, Marzo de 2017, Tomo III. Materia(s): Administrativa. Tesis: PC.I.A. J/100 A (10a.). Página: 2319.RESPONSABILIDADES ADMINISTRATIVAS DE LOS SERVIDORES PÚBLICOS. LOS MANDATARIOS DE LAS EMPRESAS PRIVADAS QUE NO OPERAN CON RECURSOS PÚBLICOS NI EJERCEN ATRIBUCIONES EN REPRESENTACIÓN DEL ESTADO NO SON SUJETOS DE LAS DISPOSICIONES DE LA LEY FEDERAL RELATIVA. La Ley Federal de Responsabilidades Administrativas de los Servidores Públicos, es aplicable a los servidores públicos que actúan en ejercicio de las atribuciones del Estado, o bien, a los particulares que manejen recursos del erario público, es decir, cuando fungen como catalizadores de las funciones, deberes y obligaciones de las entidades públicas, lo que no ocurre cuando -con motivo de un contrato de mandato- se actúa en nombre y representación de un particular y no están en controversia la función estatal ni el erario público, motivo por el cual, los mandatarios de las empresas privadas que no operan con recursos públicos ni ejercen atribuciones en representación del Estado, no son sujetos de sus disposiciones.PLENO EN MATERIA ADMINISTRATIVA DEL PRIMER CIRCUITO. Contradicción de tesis 39/2016.",https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/E93E020A5584435F,Otro medio,30/01/2018,No es de competencia de la unidad de enlace,"@Apreciable SolicitanteP r e s e n t eCon relación a su solicitud de acceso a la información, en la cual pidió: Solicito una copia facsimilar de todas y cada una de las constancias del expediente de la Contradicción de tesis 39/2016, entre las sustentadas por los Tribunales Colegiados Primero, Segundo y Octavo, todos en Materia Administrativa del Primer Circuito, el Octavo Tribunal Colegiado de Circuito del Centro Auxiliar de la Primera Región, con residencia en Naucalpan de Juárez, Estado de México y el Primer Tribunal Colegiado de Circuito del Centro Auxiliar de la Segunda Región, con residencia en San Andrés Cholula, Puebla, resuelta el 12 de diciembre de 2016. Mayoría de diez votos de diversos Magistrados RespuestaHago de su conocimiento que dicha información no es competencia de esta Suprema Corte de Justicia de la Nación, ya que con fundamento en los lineamientos Décimo y Décimo Primero del Acuerdo General Conjunto número 2/2009, de los Plenos de la Suprema Corte de Justicia de la Nación y del Consejo de la Judicatura Federal, relativos a la transferencia, digitalización, depuración y destrucción de los expedientes generados en los Tribunales Colegiados de Circuito, los cuales imponen a los mencionados órganos jurisdiccionales la obligación de conservar los expedientes de los asuntos de su conocimiento durante un periodo de tres años, contados a partir de la fecha en que se hubiere ordenado su archivo, y una vez transcurrido dicho plazo, remitirlos a este Alto Tribunal para su resguardo definitivo.Cabe mencionar que su solicitud fue turnada el 3 de enero de 2018, mediante comunicación electrónica, a la Unidad de Transparencia del Consejo de la Judicatura Federal, a fin de hacer del conocimiento de ese órgano que usted presentó una solicitud de la competencia del mismo.Lo anterior, con fundamento en los artículos 136, primer párrafo, de la Ley General de Transparencia y Acceso a la Información Pública, en relación con el 131, párrafo inicial, de la Ley Federal de Transparencia y Acceso a la Información Pública, así como 8, último párrafo, del Acuerdo General de Administración 05/2015, del tres de noviembre de dos mil quince, del Presidente de la Suprema Corte de Justicia de la Nación, por el que se expiden los Lineamientos Temporales para regular el procedimiento administrativo interno de Acceso a la Información Pública, así como el funcionamiento y atribuciones del Comité de Transparencia de la Suprema Corte de Justicia de la Nación, además de lo dispuesto en los Criterios 05/2004 y 06/2004, del entonces Comité de Acceso a la Información y de Protección de Datos Personales de este Alto Tribunal.Sin más por el momento, esperamos que la información otorgada le sea de utilidad.A t e n t a m e n t eMaestro Carlos Ernesto Maraveles TovarSubdirector GeneralUnidad General de Transparencia ySistematización de Información Judicial",04/01/2018,04/01/2018,MEXICO,Ciudad de México,,06470,Poder Judicial,No,No,No,No Aplica,No,2017-12-20,2018-01-30,2018-01-04,2018-01-04,0,0,0,0
2018,0330000001318,21/12/2017,SUPREMA CORTE DE JUSTICIA DE LA NACIÓN (SCJN),Terminada,Electrónica,Información pública,"Nombramientos, contratos, curriculums, títulos, cédulas, prestaciones (de todo tipo) viáticos de los Ministros y de todo el personal de la Unidad de Transparencia.",,https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/2B9B8D8F9F08493D,Entrega por Internet en la PNT,14/02/2018,Entrega de información en medio electrónico,"Se adjunta comunicación del Subdirector General de la Unidad General de Transparencia, resolución del Comité de Transparencia de este Alto Tribunal y entrega de información.",14/02/2018,14/02/2018,MEXICO,Ciudad de México,,null,Poder Judicial,No,No,No,No Aplica,No,2017-12-21,2018-02-14,2018-02-14,2018-02-14,0,0,0,0
2018,0330000002018,27/12/2017,SUPREMA CORTE DE JUSTICIA DE LA NACIÓN (SCJN),Terminada,Electrónica,Información pública,"Se solicita la ejecutoria del Amparo directo 575/2003. Emitida por el TERCER TRIBUNAL COLEGIADO EN MATERIA DE TRABAJO DEL CUARTO CIRCUITO. Bajo la tesis 182542 de rubro: SALARIO POR COMISIÓN. ALCANCE DE LA PRESUNCIÓN GENERADA A FAVOR DEL TRABAJADOR, CUANDO EL PATRÓN NO ACREDITA SU MONTO.",,https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/7386D850ED221217,Entrega por Internet en la PNT,30/01/2018,Entrega de información en medio electrónico,"Apreciable solicitanteSe hace de su conocimiento que debido al tamaño de la presente comunicación, podrá visualizarla en documento adjunto.Atentamente Subdirección General de la Unidad General de Transparencia y Sistematización de la Información Judicial",16/01/2018,16/01/2018,MEXICO,Chihuahua,,33000,Poder Judicial,No,No,No,No Aplica,No,2017-12-27,2018-01-30,2018-01-16,2018-01-16,0,0,0,0
2018,0330000002518,29/12/2017,SUPREMA CORTE DE JUSTICIA DE LA NACIÓN (SCJN),Terminada,Electrónica,Información pública,"Solicito Informacion de la Jurisprudencia de la Cuarta Sala en Materia Laboral con registro digital No. 242844 que corresponde a los amparos directos 1841/82, 4414/82, 639/82, 3897/82 y 6448/82",,https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/47A48853A182334B,Otro medio,07/02/2018,Entrega de información en medio electrónico,"Apreciable solicitanteSe hace de su conocimiento que debido al tamaño de la presente comunicación, podrá visualizarla en documento adjunto.Atentamente Subdirección General de la Unidad General de Transparencia y Sistematización de la Información Judicial",25/01/2018,25/01/2018,MEXICO,Nuevo León,,66062,Poder Judicial,No,No,No,No Aplica,No,2017-12-29,2018-02-07,2018-01-25,2018-01-25,0,0,0,0
2018,0330000000718,19/12/2017,SUPREMA CORTE DE JUSTICIA DE LA NACIÓN (SCJN),Terminada,Electrónica,Información pública,"Solicito una relación o lista de todos los juicios, de cualquier materia o tipo de asunto (ya sea en materia de amparo o de cualquier otra naturaleza), en que haya intervenido como parte (ya sea como actor, demandado, tercero interesado, denunciante o querellante, o con cualquier otro carácter), una empresa de participación estatal mayoritaria, sea cual fuere la instancia judicial que hubiera resuelto en forma definitiva (Juez de Distrito, Tribunal Unitario o Colegiado, Sala o Pleno de la Suprema Corte de Justicia de la Nación), tal como se encuentre en la base o bases de datos de la Suprema Corte de Justicia de la Nación.",,https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/A44480E01E0B68DC,Otro medio,14/02/2018,Inexistencia de la información solicitada,Se adjunta comunicación del Subdirector General de la Unidad General de Transparencia y resolución del Comité de Transparencia de la Suprema Corte de Justicia de la Nación.,13/02/2018,13/02/2018,MEXICO,Ciudad de México,,06470,Poder Judicial,No,No,No,No Aplica,No,2017-12-19,2018-02-14,2018-02-13,2018-02-13,0,0,0,0
2018,0330000000318,18/12/2017,SUPREMA CORTE DE JUSTICIA DE LA NACIÓN (SCJN),Terminada,Electrónica,Información pública,¿cuantos votos son los que tienen que ser positivos para llevar a cabo una nueva ley '?,,https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/300A6A99101759A4,Entrega por Internet en la PNT,30/01/2018,No es de competencia de la unidad de enlace,"@Asunto Notificación de respuestaFolio PNT 0330000000318Folio interno UT/I/0001/2018Apreciable SolicitanteP r e s e n t eCon relación a su solicitud de acceso a la información, en la cual pidió¿cuantos votos son los que tienen que ser positivos para llevar a cabo una nueva ley ?RespuestaHago de su conocimiento que dicha información no es competencia de esta Suprema Corte de Justicia de la Nación, toda vez que no tiene como finalidad ver lo relativo a la expedición de las leyes, ya que la facultad de legislar, reformar o expedir leyes recae en el honorable Congreso de la Unión de conformidad con lo que establece el artículo 73 de la Constitución Política de los Estados Unidos Mexicanos. Dicho órgano es el depositario del Poder Legislativo del Estado federal mexicano, el cual es una asamblea bicameral, es decir, está compuesta por dos cámaras: la Cámara de Diputados y la Cámara de Senadores.Por lo anterior, le comunico que la información referida en su petición puede ser requerida a las Unidades de Transparencia que se indica a continuaciónCámara de SenadoresTorre de Comisiones, Av. Paseo de la Reforma No. 135, Cuauhtémoc, Tabacalera, 06030 Ciudad de México, CDMX Teléfono 01 55 5345 3000 Cámara de DiputadosAv. Congreso de La Unión No. 66, Col. El Parque, Delegación Venustiano Carranza, C.P 05960Teléfono 56 28 13 00O a través de la Plataforma Nacional de Transparencia, indicando como sujetos obligados a los referidos órganos.Todo ello, con fundamento en los artículos 136, primer párrafo, de la Ley General de Transparencia y Acceso a la Información Pública, en relación con el 131, párrafo inicial de la Ley Federal de Transparencia y Acceso a la Información Pública, así como 8, último párrafo, del Acuerdo General de Administración 05/2015, del 3 de noviembre de 2015, del Presidente de la Suprema Corte de Justicia de la Nación, por el que se expiden los Lineamientos Temporales para regular el procedimiento administrativo interno de Acceso a la Información Pública, así como el funcionamiento y atribuciones del Comité de Transparencia de la Suprema Corte de Justicia de la Nación.Sin más por el momento, esperamos que la información otorgada le sea de utilidad.A t e n t a m e n t eMaestro Carlos Ernesto Maraveles TovarSubdirector GeneralUnidad General de Transparencia ySistematización de la Información Judicial",04/01/2018,04/01/2018,MEXICO,Sinaloa,,82164,Poder Judicial,No,No,No,No Aplica,No,2017-12-18,2018-01-30,2018-01-04,2018-01-04,0,0,0,0
2018,0330000000418,18/12/2017,SUPREMA CORTE DE JUSTICIA DE LA NACIÓN (SCJN),Terminada,Electrónica,Información pública,"1.- VERSION PUBLICA DE LA SENTENCIA EMITIDA DENTRO DEL JUICIO EJECUTIVO MERCANTIL 83/2016, POR EL JUZGADO TERCERO DE DISTRITO DEL VIGESIMO NOVENO CIRCUITO CON SEDE EN PACHUCA, HIDALGO; 2.- CONSTANCIA DE NOTIFICACIÓN DE LA SENTENCIA SEÑALADA EN EL PUNTO 1; 1, 3.- VERSION PUBLICA DEL ACUERDO DE FECHA 30 DE NOVIEMBRE DE 2017, EMITIDO DENTRO DEL MISMO JUICIO EJECUTIVO MERCANTIL 83/2016.",,https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/225DC5486404CFA4,Entrega por Internet en la PNT,30/01/2018,No es de competencia de la unidad de enlace,"@Apreciable SolicitanteP r e s e n t eCon relación a su solicitud de acceso a la información, en la cual pidió: 1.- VERSION PUBLICA DE LA SENTENCIA EMITIDA DENTRO DEL JUICIO EJECUTIVO MERCANTIL 83/2016, POR EL JUZGADO TERCERO DE DISTRITO DEL VIGESIMO NOVENO CIRCUITO CON SEDE EN PACHUCA, HIDALGO 2.- CONSTANCIA DE NOTIFICACIÓN DE LA SENTENCIA SEÑALADA EN EL PUNTO 1 1, 3.- VERSION PUBLICA DEL ACUERDO DE FECHA 30 DE NOVIEMBRE DE 2017, EMITIDO DENTRO DEL MISMO JUICIO EJECUTIVO MERCANTIL 83/2016.RespuestaHago de su conocimiento que dicha información no es competencia de esta Suprema Corte de Justicia de la Nación, ya que con fundamento en los lineamientos Décimo y Décimo Primero del Acuerdo General Conjunto número 1/2009, de los Plenos de la Suprema Corte de Justicia de la Nación y del Consejo de la Judicatura Federal, relativos a la transferencia, digitalización, depuración y destrucción de los expedientes generados en los Juzgados de Distrito, los cuales imponen a los mencionados órganos jurisdiccionales la obligación de conservar los expedientes de los asuntos de su conocimiento durante un periodo de tres años, contados a partir de la fecha en que se hubiere ordenado su archivo, y una vez transcurrido dicho plazo, remitirlos a este Alto Tribunal para su resguardo definitivo.Cabe mencionar que su solicitud fue turnada el 3 de enero de 2018, mediante comunicación electrónica, a la Unidad de Transparencia del Consejo de la Judicatura Federal, a fin de hacer del conocimiento de ese órgano que usted presentó una solicitud de la competencia del mismo.Lo anterior, con fundamento en los artículos 136, primer párrafo, de la Ley General de Transparencia y Acceso a la Información Pública, en relación con el 131, párrafo inicial, de la Ley Federal de Transparencia y Acceso a la Información Pública, así como 8, último párrafo, del Acuerdo General de Administración 05/2015, del tres de noviembre de dos mil quince, del Presidente de la Suprema Corte de Justicia de la Nación, por el que se expiden los Lineamientos Temporales para regular el procedimiento administrativo interno de Acceso a la Información Pública, así como el funcionamiento y atribuciones del Comité de Transparencia de la Suprema Corte de Justicia de la Nación, además de lo dispuesto en los Criterios 05/2004 y 06/2004, del entonces Comité de Acceso a la Información y de Protección de Datos Personales de este Alto Tribunal.Sin más por el momento, esperamos que la información otorgada le sea de utilidad.A t e n t a m e n t eMaestro Carlos Ernesto Maraveles TovarSubdirector GeneralUnidad General de Transparencia ySistematización de Información Judicia",04/01/2018,04/01/2018,MEXICO,Oaxaca,,68050,Poder Judicial,No,No,No,No Aplica,No,2017-12-18,2018-01-30,2018-01-04,2018-01-04,0,0,0,0
2018,0330000001918,27/12/2017,SUPREMA CORTE DE JUSTICIA DE LA NACIÓN (SCJN),Terminada,Electrónica,Información pública,"Se solicita la ejecutoria del Amparo directo 788/2009. Emitida por el PRIMER TRIBUNAL COLEGIADO EN MATERIAS PENAL Y DE TRABAJO DEL DÉCIMO NOVENO CIRCUITO. Bajo la tesis 162284 de rubro: SALARIO DE TRABAJADORES COMISIONISTAS. PUEDE ACREDITARSE CON CUALQUIERA DE LOS MEDIOS DE PRUEBA PREVISTOS POR EL ARTÍCULO 776 DE LA LEY FEDERAL DEL TRABAJO, INCLUSO, A TRAVÉS DE LA CLÁUSULA DE UN CONVENIO POR LA CUAL SE ESTABLEZCA UN PORCENTAJE MENSUAL A COBRAR, ESPECIALMENTE EN LOS CASOS DE COMISIÓN POR COBRANZA O RECUPERACIÓN DE CARTERA VENCIDA.",,https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/616FFC685528BA22,Entrega por Internet en la PNT,30/01/2018,Entrega de información en medio electrónico,"Apreciable solicitanteSe hace de su conocimiento que debido al tamaño de la presente comunicación, podrá visualizarla en documento adjunto.Atentamente Subdirección General de la Unidad General de Transparencia y Sistematización de la Información Judicial",16/01/2018,16/01/2018,MEXICO,Chihuahua,,33000,Poder Judicial,No,No,No,No Aplica,No,2017-12-27,2018-01-30,2018-01-16,2018-01-16,0,0,0,0
2018,0330000003918,03/01/2018,SUPREMA CORTE DE JUSTICIA DE LA NACIÓN (SCJN),Terminada,Manual,Información pública,"Atentamente solicito la resolución(es) y oficio(s) por medio de la(s) cual(es) el IFT dio cumplimiento a las sentencias emitidas por el Juzgado Primero de Distrito en Materia Administrativa Especializado en Competencia Económica, Radiodifusión y Telecominicaciones en el juicio de Amparo 1675/2015, así como en el expediente, emitida por el Primer Tribunal Colegiado en Materia Administrativa Especializado en Competencia Económica, Radiodifusión y TelecominicacionesToda vez, que el Juzgado Primero de Distrito en Materia Administrativa Especializado en Competencia Economica, Radiodifusión y Telecomunicaciones, hizo del conocimiento de esta Secretaría, que: se ordenó remitir los autos originales del juicio de amparo de mérito en dos tomos, un legajo de pruebas, seis sobres cerrados con información reservada, confidencial y pública respectivamente.., al Tribunal a su digno cargo: ..quien por razón de turnó conoce del citado recurso, el cual se encuentra radicado con el número INCOF. 3/2017",,https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/06DD42C76B0858E7,Otro medio,30/01/2018,Entrega de información en medio electrónico,"Apreciable solicitanteSe hace de su conocimiento que debido al tamaño de la presente comunicación, podrá visualizarla en documento adjunto.Atentamente Subdirección General de la Unidad General de Transparencia y Sistematización de la Información Judicial",25/01/2018,25/01/2018,MEXICO,Ciudad de México,,14210,Poder Judicial,No,No,No,No Aplica,No,2018-01-03,2018-01-30,2018-01-25,2018-01-25,0,0,0,0
2018,0330000002118,27/12/2017,SUPREMA CORTE DE JUSTICIA DE LA NACIÓN (SCJN),Terminada,Electrónica,Información pública,Se solicita la ejecutoria del amparo directo 733/2014. Emitida por el Tribunal Colegiado en Materias de Trabajo y Administrativa del Décimo Cuarto Circuito.,"publicado en la Gaceta del Semanario Judicial de la Federación, Décima Época, Libro 21, Tomo III, agosto de 2015, página 2139",https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/06C613CB76EBE6E0,Entrega por Internet en la PNT,30/01/2018,Entrega de información en medio electrónico,"Apreciable solicitanteSe hace de su conocimiento que debido al tamaño de la presente comunicación, podrá visualizarla en documento adjunto.Atentamente Subdirección General de la Unidad General de Transparencia y Sistematización de la Información Judicial",16/01/2018,16/01/2018,MEXICO,Chihuahua,,33000,Poder Judicial,No,No,No,No Aplica,No,2017-12-27,2018-01-30,2018-01-16,2018-01-16,0,0,0,0
2018,0330000003118,02/01/2018,SUPREMA CORTE DE JUSTICIA DE LA NACIÓN (SCJN),Terminada,Manual,Información pública,"Solicito la ejecutoria dictada por el Cuarto Tribunal Colegiado en Materia Administrativa del Primer Circuito, en el amparo en revisión 290/2006, que dio lugar a la tesis con número de registro 171992, de rubro: LICITACIÓN PÚBLICA. SU NATURALEZA JURÍDICA",,https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/6C5A5EC43C249D8C,Otro medio,30/01/2018,Entrega de información en medio electrónico,"Apreciable solicitanteSe hace de su conocimiento que debido al tamaño de la presente comunicación, podrá visualizarla en documento adjunto.Atentamente Subdirección General de la Unidad General de Transparencia y Sistematización de la Información Judicial",16/01/2018,16/01/2018,MEXICO,Ciudad de México,,11000,Poder Judicial,No,No,No,No Aplica,No,2018-01-02,2018-01-30,2018-01-16,2018-01-16,0,0,0,0
2018,0330000001618,21/12/2017,SUPREMA CORTE DE JUSTICIA DE LA NACIÓN (SCJN),Terminada,Electrónica,Información pública,"Para la elaboración de versiones públicas derivadas de solicitudes de información y del cumplimiento a las obligaciones de transparencia previstas en la LGTAIP y la LFTAIP, durante el periodo de enero 2015 a noviembre 2017, precisar lo siguiente: 1. Número de versiones públicas solicitadas y elaboradas mensualmente: 1.1. Número de fojas testadas. 1.2. Forma en que se llevó a cabo el testeo (Cantidad de documentos electrónicos e impresos) 2. Personal humano asignado para la elaboración de versiones públicas, precisar: 2.1. Cantidad del personal involucrado 2.2. Suma del sueldo neto del personal involucrado 2.3. Tiempo aproximado designado para la elaboración de la versión pública 3. ¿Qué técnica, metodología, herramienta, plantilla, software, macro, o complemento, utiliza la institución para elaborar versiones públicas?, en caso de usar software, precisar el nombre. 3.1. Del método utilizado, señalar aproximadamente el porcentaje de optimización que representa su uso en comparación con el proceso manual. 4. Señalar si se ha efectuado alguna contratación de bien o servicio para la elaboración de versiones públicas. En caso afirmativo, precisar: 4.1. Nombre del bien o servicio 4.2. Monto I.V.A. incluido 4.3. Nombre del Proveedor adjudicado 4.4. Número del contrato 4.5. Tipo de contratación (Adjudicación directa, Invitación, licitación etc.) 4.6. Fundamento legal para la contratación Por otro lado, señalar la siguiente información, respecto a la Institución en general: 5. Número de computadoras con Office Word, así como su versión. 6. Presupuesto anual otorgado por la SHCP, a las partidas 2000 y 3000 en los ejercicios 2015, 2016 y 2017. 7. Número total de empleados de la plantilla del personal, incluyendo eventuales y honorarios. 8. Tabulador autorizado por la SHCP donde se indique: Código, Grupo/grado/nivel, Puesto, Sueldo Base, Asignaciones y/o compensaciones garantizadas, Sueldo Neto, Sueldo Bruto, Rama (en su caso) Con la finalidad de facilitar la respuesta a la presente solicitud, Se adjunta la siguiente platilla en Excel que puede ser requisitada opcionalmente. Fundamento solicitud de acceso a la información. Con apego a los principios de certeza, eficacia, máxima publicidad y transparencia que garantizan el derecho de acceso a la información y con fundamento en el artículo 6 de la Constitución Política de los Estados Unidos Mexicanos, artículos 1, 2, fracción VII, 4, 6, 121, 122, 123, 124 y 131 de la Ley General de Transparencia y Acceso a la Información Pública (LGTAIP), así como los artículos 1, 2 fracciones I y III, 12, 13, 15, 68, 121, 122, 123 y 124 de la Ley Federal de Transparencia y Acceso a la Información Pública (LFTAIP), realizo la presente solicitud de información. En relación con lo anterior, la información solicitada en ejercicio de mi derecho de acceso a la información, es pública y accesible con fundamento en los artículos 12, 118 de la LFTAIP; artículos 70, fracciones I, II, III, VII, VIII, X, XI, XXI, XXVII, XXVIII y XXXIV de la LGTAIP; artículos 1ro, capítulo I, disposición primera, quincuagésimo sexto, quincuagésimo noveno, sexagésimo, sexagésimo primero y sexagésimo segundo del Acuerdo del Consejo Nacional del Sistema Nacional de Transparencia, Acceso a la Información Pública y Protección de datos personales, por el que se aprueban los Lineamientos generales en materia de clasificación y desclasificación de la información; así como para la elaboración de versiones públicas, en relación con el Acuerdos por el que se modifican los artículos sexagésimo segundo, sexagésimo tercero y quinto transitorio de los Lineamientos generales en materia de clasificación y desclasificación de la información, así como para la elaboración de versiones públicas.",,https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/FA0FA66F1B7931B5,Entrega por Internet en la PNT,14/02/2018,Entrega de información en medio electrónico,"Se adjunta comunicación del Subdirector General de la Unidad General de Transparencia, resolución del Comité de Transparencia de la Suprema Corte de Justicia de la Nación y entrega de información.",06/02/2018,06/02/2018,MEXICO,Ciudad de México,,null,Poder Judicial,No,No,No,No Aplica,No,2017-12-21,2018-02-14,2018-02-06,2018-02-06,0,0,0,0
2018,0330000003318,02/01/2018,SUPREMA CORTE DE JUSTICIA DE LA NACIÓN (SCJN),Terminada,Manual,Información pública,"En el boletín informativo de la SCJN del día 06 de diciembre de 2017, se hace mención a la resolución del amparo 24/2016 en materia de derecho a la imagen, solicito la sentencia de este amparo aprobada por el pleno de la SCJN misma que esta en posesión de los ministros por ser un asunto que trataron en sesión del pleno",,https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/9414161B388E14E1,Otro medio,30/01/2018,Entrega de información en medio electrónico,"Apreciable solicitanteSe hace de su conocimiento que debido al tamaño de la presente comunicación, podrá visualizarla en documento adjunto.Atentamente Subdirección General de la Unidad General de Transparencia y Sistematización de la Información Judicial",12/01/2018,12/01/2018,MEXICO,FEDERACION99,,0,Poder Judicial,No,No,No,No Aplica,No,2018-01-02,2018-01-30,2018-01-12,2018-01-12,0,0,0,0
2018,0330000000918,20/12/2017,SUPREMA CORTE DE JUSTICIA DE LA NACIÓN (SCJN),Terminada,Electrónica,Información pública,"Por medio del presente solicitó todas y cada una de las sentencias emitidas desde el año 2010 relativas al artículo 400 BIS del Código Penal Federal que es referido a las operaciones con recursos de procedencia ilícita, es decir, en temas de Lavado de dinero; así como el contenido de las dichas sentencias.",,https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/35475D04A5D74D70,Copia Certificada,30/01/2018,Entrega de información en medio electrónico,"Apreciable solicitanteSe hace de su conocimiento que debido al tamaño de la presente comunicación, podrá visualizarla en documento adjunto.Atentamente Subdirección General de la Unidad General de Transparencia y Sistematización de la Información Judicial",25/01/2018,25/01/2018,MEXICO,Ciudad de México,,03200,Poder Judicial,No,No,No,No Aplica,No,2017-12-20,2018-01-30,2018-01-25,2018-01-25,0,0,0,0
2018,0330000001718,23/12/2017,SUPREMA CORTE DE JUSTICIA DE LA NACIÓN (SCJN),Terminada,Electrónica,Información pública,"Con base en mi derecho a la información, solicito conocer el monto que la dependencia ha erogado por concepto de compras de vinos y bebidas con alcohol, de diciembre de 2006 a la fecha. Favor de detallar por fecha, lugar, tipo de bebida y monto.",,https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/914354566E4D0567,Entrega por Internet en la PNT,14/02/2018,Entrega de información en medio electrónico,Se adjunta comunicación del Subdirector General de la Unidad General de Transparencia y resolución del Comité de Transparencia de este Alto Tribunal.,14/02/2018,14/02/2018,MEXICO,Ciudad de México,,06000,Poder Judicial,No,No,No,No Aplica,No,2017-12-23,2018-02-14,2018-02-14,2018-02-14,0,0,0,0
