year,Folio,FechaSolicitud,Dependencia,Estatus,MedioEntrada,TipoSolicitud,DescripcionSolicitud,OtrosDatos,ArchivosAdjuntos,MedioEntrega,FechaLimite,Respuesta,TextoRespuesta,FechaRespuesta,FechaSolicitudTermino,Pais,Estado,Municipio,CodigoPostal,Sector,Prorroga,Prevencion,Disponibilidad,TipoDerechoARCOP,Queja,FechaSolicitud_iso,FechaLimite_iso,FechaRespuesta_iso,FechaSolicitudTermino_iso,Prorroga_bin,Prevencion_bin,Disponibilidad_bin,Queja_bin
2022,330030522000014,17/12/2021,Suprema Corte de Justicia de la Nación (SCJN),Terminada,Electrónica,Información pública,"Descripción de la solicitud de información: Favor de proporcionar los documentos o expresiones documentales análogas consistes, que den cuenta o guarden relación de:1. Manual de procedimientos de la Unidad de Transparencia.2. Políticas y acciones que ha emprendido esa Unidad de Transparencia para la gestión y tratamiento de datos personales. 3. Acuerdos institucionales que ha suscrito ese sujeto obligado y/o Unidad de Transparencia para la atención de solicitudes de información y/o ejercicio de derechos ARCO en alguna lengua indígena o sistema braille. Medio preferente de entrega de la información: En formato editable / datos abiertos (Word-PDF) mediante la Plataforma Nacional de Transparencia:","En su Unidad de Transparencia, sin menoscabar o acotar la búsqueda en otras unidades administrativas.",https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/DDE9C3697AF5449A,Electrónico a través del Sistema de Solicitudes de Acceso a la Información de la PNT,31/01/2022,Entrega de información vía Plataforma Nacional de Transparencia (Terminada),A través del archivo que se adjunta podrá visualizar la respuesta a su solicitud.,20/01/2022,20/01/2022,,,,,Poder Judicial,No,No,No,No Aplica,No,2021-12-17,2022-01-31,2022-01-20,2022-01-20,0,0,0,0
2022,330030522000025,17/12/2021,Suprema Corte de Justicia de la Nación (SCJN),Desechada por falta de respuesta del ciudadano,Manual,Información pública,Buena tarde solicito información del estado que guarda el recurso de revisión. Que anexo al presenteEnviado desde mi iPhone,,https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/FA59F25FE8C8F94A,"Cualquier otro medio incluido los electrónicos (CD, DVD, USB)",31/01/2022,Prevención,"Asunto: Requerimiento de Información adicional Folio PNT: 330030522000025 Folio interno: UT/P/0007/2022 Ciudad de México, a 4 de enero de 2022 Apreciable solicitante:P r e s e n t eSe hace de su conocimiento que debido al tamaño de la presente comunicación, podrá visualizarla en documento adjunto.",04/01/2022,04/01/2022,,,,,Poder Judicial,No,Si,No,No Aplica,No,2021-12-17,2022-01-31,2022-01-04,2022-01-04,0,1,0,0
2022,330030522000010,16/12/2021,Suprema Corte de Justicia de la Nación (SCJN),Desechada por falta de respuesta del ciudadano,Electrónica,Información pública,Solicito saber que paso con la consulta popular para enjuiciar a expresidentes de la republica.,,https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/7CD6B4E6F0439098,Electrónico a través del Sistema de Solicitudes de Acceso a la Información de la PNT,31/01/2022,Prevención,"Asunto: Requerimiento de Información adicional Folio PNT: 330030522000010 Folio interno: UT/P/0001/2022 Ciudad de México, a 4 de enero de 2022 Apreciable solicitante:P r e s e n t eSe hace de su conocimiento que debido al tamaño de la presente comunicación, podrá visualizarla en documento adjunto.",04/01/2022,04/01/2022,,,,,Poder Judicial,No,Si,No,No Aplica,No,2021-12-16,2022-01-31,2022-01-04,2022-01-04,0,1,0,0
2022,330030522000048,28/12/2021,Suprema Corte de Justicia de la Nación (SCJN),Terminada,Electrónica,Información pública,"Información solicitada: Sentencias correspondientes a los Amparo en Revisión 63/96, 91/96, 205/96 y 277/96 resueltos por el Pleno de la SCJN (no disponibles en la página). Se adjunta la tesis.",Se solicita la aplicación del artículo 73 fracción II de la LGTAIP,https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/4327874B90C1AB8B,Cualquier otro medio incluido los electrónicos,31/01/2022,Entrega de información vía Plataforma Nacional de Transparencia (Terminada),"Apreciable solicitanteSe hace de su conocimiento que la información requerida supera la capacidad permitida para el envío en la modalidad de su elección, no obstante lo anterior, se le informa que la misma se encuentra a su disposición en el estrado electrónico del portal de Transparencia de este Alto Tribunal, a la cual podrá acceder desde los siguientes vínculos: Notificación de Respuestahttps://www.scjn.gob.mx/sites/default/files/estrado_electronico_notificaciones/documento/2022-01/J-0021-2022-Notificacion-Respuesta.pdf Informaciónhttps://www.scjn.gob.mx/sites/default/files/estrado_electronico_notificaciones/documento/2022-01/J-0021-2022-Informacion.zip",28/01/2022,28/01/2022,,,,,Poder Judicial,No,No,No,No Aplica,No,2021-12-28,2022-01-31,2022-01-28,2022-01-28,0,0,0,0
2022,330030522000016,17/12/2021,Suprema Corte de Justicia de la Nación (SCJN),Terminada,Electrónica,Información pública,adjunto mi solicitud en word.,,https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/20405B06F7706FB6,Electrónico a través del Sistema de Solicitudes de Acceso a la Información de la PNT,31/01/2022,Entrega de información vía Plataforma Nacional de Transparencia (Terminada),A través del archivo que se adjunta podrá visualizar la respuesta a su solicitud.,25/01/2022,25/01/2022,,,,,Poder Judicial,No,No,No,No Aplica,Si,2021-12-17,2022-01-31,2022-01-25,2022-01-25,0,0,0,1
2022,330030522000040,27/12/2021,Suprema Corte de Justicia de la Nación (SCJN),Terminada,Electrónica,Información pública,"Copia simple del expediente de solicitud de ejercicio de la facultad de atraccion 247/2015 de la Segunda Sala de la Suprema Corte de Justicia de la Nación (Incluyendo todo el expediente, no solo la resolución)",,https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/3C2C560833D8992E,Electrónico a través del Sistema de Solicitudes de Acceso a la Información de la PNT,31/01/2022,Entrega de información vía Plataforma Nacional de Transparencia (Terminada),"Apreciable solicitanteSe hace de su conocimiento que la información requerida supera la capacidad permitida para el envío en la modalidad de su elección, no obstante lo anterior, se le informa que la misma se encuentra a su disposición en el estrado electrónico del portal de Transparencia de este Alto Tribunal, a la cual podrá acceder desde los siguientes vínculos: Notificación de Respuestahttps://www.scjn.gob.mx/sites/default/files/estrado_electronico_notificaciones/documento/2022-01/J-0017-2022-Notificacion-Respuesta.pdfInformaciónhttps://www.scjn.gob.mx/sites/default/files/estrado_electronico_notificaciones/documento/2022-01/J-0017-2022-Informacion.zip",28/01/2022,28/01/2022,,,,,Poder Judicial,No,No,No,No Aplica,No,2021-12-27,2022-01-31,2022-01-28,2022-01-28,0,0,0,0
2022,330030522000018,17/12/2021,Suprema Corte de Justicia de la Nación (SCJN),Terminada,Electrónica,Información pública,"SOLICITO QUE SE ME PROPORCIONE EN COPIAS SIMPLES LO SIGUIENTE: AMPAROS, ACCION DE INCONSTITUCIONALIDAD EN CONTRA DE LA SALA INDIGENA DEL ESTADO DE OAXACA. ASI TAMBIEN AMPAROS Y ACCIONES DE INCONSTITUCIONALIDAD SOBRE LOS RECURSOS DEL RAMO 28 0 33. Y DE IGUAL FORMA SI HAN RESUELTA SOBRE MATERIA INDIGENA EN CUANTO A SUS DERECHOS.",,https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/C52B0A3A43822E51,Electrónico a través del Sistema de Solicitudes de Acceso a la Información de la PNT,24/02/2022,Entrega de información vía Plataforma Nacional de Transparencia (Terminada),Notificación de Respuestahttps://www.scjn.gob.mx/sites/default/files/estrado_electronico_notificaciones/documento/2022-02/UT-J-0087-2022-Notificacion-Respuesta.pdfInformaciónhttps://www.scjn.gob.mx/sites/default/files/estrado_electronico_notificaciones/documento/2022-02/J-0087-2022-Informacion.zip,17/02/2022,17/02/2022,,,,,Poder Judicial,Si,Si,No,No Aplica,No,2021-12-17,2022-02-24,2022-02-17,2022-02-17,1,1,0,0
2022,330030522000002,16/12/2021,Suprema Corte de Justicia de la Nación (SCJN),Terminada,Electrónica,Información pública,Quiero el numero de expediente y estatus de un recurso de revisión remitido por el Segundo Tribunal Colegiado en materia laboral el 27 de mayo del 21 a las 16.15 horas por su sistema del amparo directo 19/2021 al cual el sistema le asignó el número de folio 28850/2021 y NEUM 27617931,,https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/C2D927E6BCA19552,Electrónico a través del Sistema de Solicitudes de Acceso a la Información de la PNT,31/01/2022,Entrega de información vía Plataforma Nacional de Transparencia (Terminada),"Apreciable solicitanteSe hace de su conocimiento que debido al tamaño de la presente comunicación, podrá visualizarla en documento adjunto.Atentamente Subdirección General de la Unidad General de Transparencia y Sistematización de la Información Judicial",20/01/2022,20/01/2022,,,,,Poder Judicial,No,No,No,No Aplica,No,2021-12-16,2022-01-31,2022-01-20,2022-01-20,0,0,0,0
2022,330030522000012,17/12/2021,Suprema Corte de Justicia de la Nación (SCJN),Terminada,Electrónica,Información pública,Solicito me proporcionen la Controversia Constitucional 207/2021 promovida por la COFECE por la omisión del Poder Ejecutivo Federal.,https://www2.scjn.gob.mx/IndicesCCAI/ControversiasConstitucionalespub/ControversiasConstitucionales.aspx#&&ZMPqcAIwjpebeBRsiYjhBgFBXTUDNVR+obriuOZcYAubNoBcZcepFWbIi4/lWG66VyZr4Id8VF80LHVTwJC653LPl5uEsfSnkTByOw8NNYAeEbJ0viy0k1R+5/k=,https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/BB076A21F38E3F38,Electrónico a través del Sistema de Solicitudes de Acceso a la Información de la PNT,22/02/2022,Entrega de información vía Plataforma Nacional de Transparencia (Terminada),Se notifica resolución del Comité de Transparencia de este Alto Tribunal.,15/02/2022,15/02/2022,,,,,Poder Judicial,Si,Si,No,No Aplica,No,2021-12-17,2022-02-22,2022-02-15,2022-02-15,1,1,0,0
2022,330030522000036,24/12/2021,Suprema Corte de Justicia de la Nación (SCJN),Terminada,Electrónica,Información pública,¿Del año 2015 a la fecha cuantos recursos de revisión en términos del artículo 189 de la Ley General de Transparencia y Acceso a la información Pública se han sustanciado ante ese alto tribunal?,,https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/2951433D89E01A03,Electrónico a través del Sistema de Solicitudes de Acceso a la Información de la PNT,31/01/2022,Entrega de información vía Plataforma Nacional de Transparencia (Terminada),"Apreciable solicitanteSe hace de su conocimiento que debido al tamaño de la presente comunicación, podrá visualizarla en documento adjunto.Atentamente Subdirección General de la Unidad General de Transparencia y Sistematización de la Información Judicial",27/01/2022,27/01/2022,,,,,Poder Judicial,No,No,No,No Aplica,No,2021-12-24,2022-01-31,2022-01-27,2022-01-27,0,0,0,0
